Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[32-32],1m 59s,10.3.0.31,6728,files,60,60,0.431,640.75,80,0,0,0
[320-320],1m 59s,10.3.0.25,6735,files,80,80,0.386,765.667,60,0,0,0
[321-321],1m 59s,10.3.0.25,6735,files,60,60,0.231,458.667,60,0,0,0
[322-322],1m 59s,10.3.0.25,6735,files,60,60,0.352,697.333,60,0,0,0
[323-323],1m 59s,10.3.0.25,6735,files,60,60,0.977,1938.333,60,0,0,0
[324-324],1m 59s,10.3.0.25,6735,files,60,60,0.447,886,60,0,0,0
[325-325],1m 58s,10.3.0.25,6736,files,60,60,0.207,611.5,40,0,0,0
[326-326],1m 58s,10.3.0.25,6736,files,60,60,0.314,925,40,0,0,0
[327-327],1m 58s,10.3.0.25,6736,files,60,60,0.368,723,60,0,0,0
[328-328],1m 58s,10.3.0.25,6736,files,80,80,0.541,1063.333,60,0,0,0
[329-329],1m 59s,10.3.0.25,6735,files,20,20,0.354,702.667,60,0,0,0
[33-33],1m 59s,10.3.0.31,6728,files,60,60,0.522,1035,60,0,0,0
[330-330],1m 58s,10.3.0.30,6717,files,80,80,1.693,3329.667,60,0,0,0
[331-331],1m 58s,10.3.0.30,6717,files,60,60,0.391,769.333,60,0,0,0
[332-332],1m 58s,10.3.0.30,6717,files,60,60,0.265,521.333,60,0,0,0
[34-34],1m 58s,10.3.0.31,6726,files,80,80,0.215,422.667,60,0,0,0
[35-35],1m 59s,10.3.0.31,6728,files,40,40,0.35,694.333,60,0,0,0
[36-36],1m 59s,10.3.0.31,6728,files,40,40,0.558,1107,60,0,0,0
[37-37],1m 58s,10.3.0.31,6725,files,80,80,2.261,3335.5,80,0,0,0
[38-38],1m 58s,10.3.0.31,6725,files,40,40,0.828,1629,60,0,0,0
[39-39],1m 59s,10.3.0.31,6728,files,60,60,0.519,1029,60,0,0,0
[4-4],1m 57s,10.3.0.25,6734,files,60,60,0.59,862.5,80,0,0,0
[40-40],1m 59s,10.3.0.31,6728,files,80,80,1.513,3001,60,0,0,0
[41-41],1m 59s,10.3.0.31,6728,files,60,60,0.289,430.25,80,0,0,0
[42-42],1m 58s,10.3.0.31,6725,files,60,60,0.222,435.667,60,0,0,0
[43-43],1m 58s,10.3.0.31,6725,files,80,80,0.293,432.25,80,0,0,0
[44-44],1m 58s,10.3.0.31,6725,files,60,60,0.375,738,60,0,0,0
[45-45],1m 58s,10.3.0.31,6725,files,80,80,2.07,4070.333,60,0,0,0
[46-46],2m 1s,10.3.0.30,6718,files,60,60,0.478,964,60,0,0,0
[47-47],2m 1s,10.3.0.30,6718,files,80,80,0.21,423.333,60,0,0,0
[48-48],2m 1s,10.3.0.30,6718,files,60,60,0.768,1548,60,0,0,0
[49-49],2m 1s,10.3.0.30,6718,files,80,80,0.353,712.333,60,0,0,0
[5-5],1m 57s,10.3.0.25,6734,files,60,60,1.782,3475,60,0,0,0
[50-50],2m 1s,10.3.0.30,6718,files,60,60,0.21,423.333,60,0,0,0
[51-51],1m 58s,10.3.0.30,6717,files,60,60,0.356,701,60,0,0,0
[52-52],1m 58s,10.3.0.30,6717,files,60,60,0.508,999.667,60,0,0,0
[53-53],2m 1s,10.3.0.30,6718,files,60,60,0.471,950.667,60,0,0,0
[54-54],2m 1s,10.3.0.30,6718,files,40,40,0.281,851,40,0,0,0
[55-55],1m 59s,10.3.0.30,6719,files,60,60,0.213,421.667,60,0,0,0
[56-56],1m 58s,10.3.0.30,6717,files,80,80,0.215,422.333,60,0,0,0
[57-57],1m 58s,10.3.0.30,6717,files,60,60,0.686,1012.5,80,0,0,0
[58-58],1m 58s,10.3.0.30,6717,files,60,60,0.432,1274.5,40,0,0,0
[59-59],1m 58s,10.3.0.30,6717,files,80,80,0.721,1064,80,0,0,0
[6-6],1m 57s,10.3.0.25,6734,files,80,80,0.225,439.333,60,0,0,0
[60-60],1m 59s,10.3.0.30,6719,files,60,60,0.355,704.667,60,0,0,0
[61-61],1m 59s,10.3.0.30,6719,files,60,60,0.367,727.333,60,0,0,0
[62-62],1m 59s,10.3.0.30,6719,files,80,80,0.36,713.333,60,0,0,0
[63-63],1m 59s,10.3.0.30,6719,files,60,60,0.361,715.667,60,0,0,0
[64-64],2m 1s,10.3.0.30,6720,files,60,60,0.369,744,60,0,0,0
[65-65],2m 1s,10.3.0.30,6720,files,60,60,0.294,444.5,80,0,0,0
[66-66],2m 1s,10.3.0.30,6720,files,80,80,0.338,681.667,60,0,0,0
[67-67],2m 1s,10.3.0.30,6720,files,60,60,0.209,421.333,60,0,0,0
[68-68],1m 59s,10.3.0.30,6719,files,60,60,0.528,786,80,0,0,0
[69-69],2m 1s,10.3.0.30,6720,files,80,80,0.573,866.25,80,0,0,0
[7-7],1m 57s,10.3.0.25,6734,files,60,60,0.356,694.667,60,0,0,0
[70-70],2m 1s,10.3.0.30,6720,files,60,60,1.341,2705.333,60,0,0,0
[71-71],2m 1s,10.3.0.30,6720,files,60,60,0.207,418,60,0,0,0
[72-72],2m 1s,10.3.0.30,6720,files,60,60,0.139,420,40,0,0,0
[73-73],2m 1s,10.3.0.30,6720,files,60,60,0.209,421,60,0,0,0
[74-74],1m 57s,10.3.0.25,6734,files,40,40,0.215,419,60,0,0,0
[75-75],1m 57s,10.3.0.25,6734,files,60,60,0.216,421.333,60,0,0,0
